Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
Tag_18,默认变量表,Bool,%M1.7,,True,True,True,,
Tag_19,默认变量表,Bool,%M2.0,,True,True,True,,
Tag_20,默认变量表,Bool,%M2.1,,True,True,True,,
Tag_21,默认变量表,Bool,%M2.2,,True,True,True,,
Tag_22,默认变量表,Bool,%M2.3,,True,True,True,,
Tag_23,默认变量表,Bool,%M2.4,,True,True,True,,
Tag_24,默认变量表,Bool,%M2.5,,True,True,True,,
Tag_25,默认变量表,Bool,%M2.6,,True,True,True,,
Tag_26,默认变量表,Bool,%M2.7,,True,True,True,,
Tag_27,默认变量表,Bool,%M3.0,,True,True,True,,
Tag_28,默认变量表,Bool,%M3.1,,True,True,True,,
Tag_30,默认变量表,Bool,%M3.2,,True,True,True,,
Tag_31,默认变量表,Bool,%M3.3,,True,True,True,,
Tag_32,默认变量表,Bool,%M3.4,,True,True,True,,
Tag_33,默认变量表,Bool,%M3.5,,True,True,True,,
Tag_35,默认变量表,Bool,%M3.6,,True,True,True,,
Tag_36,默认变量表,Bool,%M3.7,,True,True,True,,
Tag_37,默认变量表,Bool,%M4.0,,True,True,True,,
Tag_38,默认变量表,Bool,%M4.1,,True,True,True,,
Tag_40,默认变量表,Bool,%M4.2,,True,True,True,,
Tag_41,默认变量表,Bool,%M4.3,,True,True,True,,
Tag_42,默认变量表,Bool,%M4.4,,True,True,True,,
Tag_43,默认变量表,Bool,%M4.5,,True,True,True,,
Tag_45,默认变量表,Bool,%M4.6,,True,True,True,,
Tag_46,默认变量表,Bool,%M4.7,,True,True,True,,
Tag_47,默认变量表,Bool,%M5.0,,True,True,True,,
Tag_48,默认变量表,Bool,%M5.1,,True,True,True,,
Tag_50,默认变量表,Bool,%M5.2,,True,True,True,,
Tag_51,默认变量表,Bool,%M5.3,,True,True,True,,
Tag_52,默认变量表,Bool,%M5.4,,True,True,True,,
Tag_53,默认变量表,Bool,%M5.5,,True,True,True,,
Tag_55,默认变量表,Bool,%M5.6,,True,True,True,,
Tag_56,默认变量表,Bool,%M5.7,,True,True,True,,
Tag_57,默认变量表,Bool,%M6.0,,True,True,True,,
Tag_58,默认变量表,Bool,%M6.1,,True,True,True,,
Tag_60,默认变量表,Bool,%M6.2,,True,True,True,,
Tag_61,默认变量表,Bool,%M6.3,,True,True,True,,
Tag_62,默认变量表,Bool,%M6.4,,True,True,True,,
Tag_63,默认变量表,Bool,%M6.5,,True,True,True,,
Tag_65,默认变量表,Bool,%M6.6,,True,True,True,,
Tag_66,默认变量表,Bool,%M6.7,,True,True,True,,
Tag_67,默认变量表,Bool,%M7.0,,True,True,True,,
Tag_68,默认变量表,Bool,%M7.1,,True,True,True,,
Tag_70,默认变量表,Bool,%M7.2,,True,True,True,,
Tag_71,默认变量表,Bool,%M7.3,,True,True,True,,
