时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-05-31 02:52:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 02:55:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 02:55:00,6,报警,低炉温焚烧,报警
2025-05-31 03:00:00,6,报警,低炉温焚烧,报警
2025-05-31 03:00:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 03:05:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 03:05:00,6,报警,低炉温焚烧,报警
2025-05-31 03:08:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 03:10:00,6,报警,低炉温焚烧,报警
2025-05-31 03:10:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 03:12:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 03:15:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 03:15:00,6,报警,低炉温焚烧,报警
2025-05-31 03:18:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 03:20:00,6,报警,低炉温焚烧,报警
2025-05-31 03:20:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 03:24:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 03:25:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 03:25:00,6,报警,低炉温焚烧,报警
2025-05-31 03:28:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 03:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 03:30:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 03:30:00,6,报警,低炉温焚烧,报警
2025-05-31 03:35:00,6,报警,低炉温焚烧,报警
2025-05-31 03:35:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 03:40:00,6,报警,低炉温焚烧,报警
2025-05-31 03:40:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 03:40:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 03:45:00,6,报警,低炉温焚烧,报警
2025-05-31 03:45:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 03:50:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 03:50:00,6,报警,低炉温焚烧,报警
2025-05-31 03:54:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 03:55:00,6,报警,低炉温焚烧,报警
2025-05-31 03:55:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 04:00:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 04:00:00,6,报警,低炉温焚烧,报警
2025-05-31 04:05:00,6,报警,低炉温焚烧,报警
2025-05-31 04:05:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 04:10:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 04:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 04:10:00,6,报警,低炉温焚烧,报警
2025-05-31 04:15:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 04:15:00,6,报警,低炉温焚烧,报警
2025-05-31 04:16:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 04:20:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 04:20:00,6,报警,低炉温焚烧,报警
2025-05-31 04:25:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 04:25:00,6,报警,低炉温焚烧,报警
2025-05-31 04:30:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 04:30:00,6,报警,低炉温焚烧,报警
2025-05-31 04:34:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 04:35:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 04:35:00,6,报警,低炉温焚烧,报警
2025-05-31 04:40:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 04:40:00,6,报警,低炉温焚烧,报警
2025-05-31 04:44:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 04:45:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 04:45:00,6,报警,低炉温焚烧,报警
2025-05-31 04:50:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 04:50:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 04:50:00,6,报警,低炉温焚烧,报警
2025-05-31 04:54:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 04:55:00,6,报警,低炉温焚烧,报警
2025-05-31 04:55:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 05:00:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 05:00:00,6,报警,低炉温焚烧,报警
2025-05-31 05:02:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 05:05:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 05:05:00,6,报警,低炉温焚烧,报警
2025-05-31 05:10:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 05:10:00,6,报警,低炉温焚烧,报警
2025-05-31 05:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 05:15:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 05:15:00,6,报警,低炉温焚烧,报警
2025-05-31 05:20:00,6,报警,低炉温焚烧,报警
2025-05-31 05:20:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 05:22:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 05:25:00,6,报警,低炉温焚烧,报警
2025-05-31 05:25:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 05:30:00,6,报警,低炉温焚烧,报警
2025-05-31 05:30:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 05:35:00,6,报警,低炉温焚烧,报警
2025-05-31 05:35:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 05:36:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 05:40:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 05:40:00,6,报警,低炉温焚烧,报警
2025-05-31 05:42:00,5,预警,焚烧炉出口氧含量偏低,预警
