时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-06-30 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 00:02:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 00:06:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 00:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 00:14:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 00:18:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 00:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 00:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 00:36:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 00:36:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 00:40:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 00:44:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 00:48:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 00:48:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 00:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 00:54:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 00:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 01:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 01:22:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 01:22:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 01:26:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 01:30:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 01:44:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 01:48:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 02:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 02:00:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 02:06:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 02:10:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 02:14:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 02:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 02:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 02:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 03:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 03:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 03:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 03:22:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 03:24:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 03:26:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 03:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 03:36:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 03:50:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 03:58:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 04:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 04:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 04:14:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 04:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 04:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 04:24:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 04:32:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 04:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 04:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 04:40:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 04:44:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 04:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 05:02:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 05:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 05:18:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 05:22:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 05:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 05:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 05:36:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 05:40:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 05:46:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 05:52:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 06:00:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 06:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 06:06:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 06:06:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 06:10:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 06:14:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 06:26:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 06:26:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 06:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 06:34:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 06:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 06:40:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 06:44:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 06:52:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 06:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 06:58:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 07:00:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 07:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 07:10:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 07:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 07:14:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 07:14:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 07:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 07:20:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 07:30:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 07:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 07:40:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 07:48:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 07:50:01,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 07:54:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 07:54:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 07:58:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 08:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 08:02:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 08:10:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 08:10:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 08:12:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 08:24:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 08:28:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 08:32:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 08:40:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 08:40:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 08:48:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 08:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 08:52:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 09:04:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 09:04:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 09:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 09:14:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 09:14:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 09:20:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 09:22:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 09:26:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 09:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 09:30:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 09:34:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 09:36:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 09:42:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 09:44:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 09:48:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 10:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 10:14:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 10:16:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 10:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 10:20:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 10:26:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 10:28:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 10:40:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 10:40:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 10:50:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 10:56:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 11:00:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 11:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 11:04:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 11:08:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 11:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 11:14:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 11:18:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 11:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 11:24:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 11:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 11:32:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 11:42:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 11:44:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 11:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 11:50:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 11:54:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 11:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 12:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 12:04:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 12:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 12:14:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 12:20:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 12:26:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 12:46:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 13:00:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 13:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 13:16:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 13:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 13:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 13:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 13:44:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 13:48:00,6,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 13:54:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 13:58:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 14:02:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 14:10:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 14:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 14:16:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 14:36:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 14:48:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 14:52:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 14:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 15:08:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 15:10:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 15:14:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 15:22:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 15:26:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 15:44:00,6,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 15:46:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 15:50:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 15:58:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 16:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 16:14:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 16:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 16:24:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 16:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 16:32:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 16:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 16:42:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 16:44:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 16:48:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 16:52:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 16:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 17:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 17:10:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 17:14:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-30 17:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 17:28:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 17:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 17:40:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 17:44:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 17:48:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-30 17:52:00,5,预警,焚烧炉出口氧含量偏高,预警
