时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-03-24 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 00:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 03:08:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 05:02:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 05:52:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 06:02:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 06:18:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 06:20:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 06:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 06:48:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 06:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 07:52:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 08:24:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 08:28:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 08:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 08:34:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 08:40:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 08:56:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 09:00:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 09:24:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 09:42:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 10:04:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 10:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 12:00:00,6,预警,氨逃逸偏高,预警
2025-03-24 12:04:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 12:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 12:18:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 12:34:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 13:00:00,6,预警,氨逃逸偏高,预警
2025-03-24 13:12:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 13:20:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 13:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 13:36:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 14:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 14:00:00,6,预警,氨逃逸偏高,预警
2025-03-24 14:06:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 14:06:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 14:12:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 14:18:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 14:18:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 15:00:00,6,预警,氨逃逸偏高,预警
2025-03-24 15:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 15:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 15:22:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 15:28:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 15:30:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 15:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 15:44:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 15:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 15:48:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 15:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 16:00:00,6,预警,氨逃逸偏高,预警
2025-03-24 16:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 16:28:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 16:42:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 17:00:00,6,预警,氨逃逸偏高,预警
2025-03-24 17:14:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 17:32:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 17:38:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 18:00:00,6,预警,氨逃逸偏高,预警
2025-03-24 18:06:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 18:14:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 19:00:00,6,预警,氨逃逸偏高,预警
2025-03-24 20:00:00,6,预警,氨逃逸偏高,预警
2025-03-24 20:04:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 20:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 20:32:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 21:00:00,6,预警,氨逃逸偏高,预警
2025-03-24 21:08:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-24 21:32:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-24 22:00:00,6,预警,氨逃逸偏高,预警
2025-03-24 22:16:00,3,预警,焚烧炉出口氧含量偏高,预警
