时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-01-01 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-01 00:00:00,6,预警,氨逃逸偏高,预警
2025-01-01 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-01-01 00:04:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-01 00:06:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-01 00:24:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-01 00:58:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-01 01:00:00,6,预警,氨逃逸偏高,预警
2025-01-01 01:04:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-01 01:16:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-01 01:38:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-01 01:50:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-01 01:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-01 01:56:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-01 02:00:00,6,预警,氨逃逸偏高,预警
2025-01-01 02:04:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-01 02:32:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-01 02:34:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-01 02:48:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-01 03:00:00,6,预警,氨逃逸偏高,预警
2025-01-01 03:02:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-01 03:32:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-01 03:36:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-01 03:44:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-01 04:00:00,6,预警,氨逃逸偏高,预警
2025-01-01 04:04:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-01 04:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-01 04:56:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-01 04:58:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-01 04:58:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-01 05:00:00,6,预警,氨逃逸偏高,预警
2025-01-01 05:08:00,3,预警,焚烧炉出口氧含量偏高,预警
