时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-03-03 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 00:04:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 00:06:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 00:16:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 00:28:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 00:30:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-03 00:40:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-03 00:42:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 00:50:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 00:58:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 01:02:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-03 01:06:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 01:16:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 01:24:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 01:30:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 01:32:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-03 01:38:00,5,预警,布袋除尘器压力损失偏高,预警
2025-03-03 01:40:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-03 01:46:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-03 02:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 02:56:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 03:02:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 04:02:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 04:06:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 04:44:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-03 04:52:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 04:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 04:58:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-03 04:58:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 05:14:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 05:20:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 05:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 05:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 05:56:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 06:08:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 06:16:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 06:56:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-03 07:02:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-03 07:08:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 07:18:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 07:28:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 07:30:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 07:34:00,5,预警,布袋除尘器压力损失偏高,预警
2025-03-03 07:40:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 07:42:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 08:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 08:16:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 08:32:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 08:54:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 09:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 09:02:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 09:20:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 09:26:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 09:44:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 09:48:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 09:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 10:02:00,5,预警,布袋除尘器压力损失偏高,预警
2025-03-03 10:06:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 10:08:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-03 10:24:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 11:18:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 11:22:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 11:30:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 11:36:00,5,预警,布袋除尘器压力损失偏高,预警
2025-03-03 11:40:00,5,预警,布袋除尘器压力损失偏高,预警
2025-03-03 11:48:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 11:52:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 12:12:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 12:26:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-03 12:30:00,5,预警,布袋除尘器压力损失偏高,预警
