时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-03-25 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 00:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 00:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 01:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 02:22:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 02:46:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 04:26:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 04:58:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-25 05:06:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 05:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 06:16:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-25 06:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 06:24:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-25 06:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-25 06:38:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-25 06:56:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-25 07:24:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-25 07:46:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-25 07:54:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-25 08:08:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-25 08:24:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 08:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 09:12:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 09:18:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 09:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 09:48:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 09:54:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 10:04:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 10:36:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 10:56:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 11:26:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 11:30:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 11:34:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 11:48:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 12:02:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 12:10:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 13:18:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 13:20:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 13:34:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 13:36:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 13:42:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 13:48:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 13:52:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 14:16:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 14:20:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 14:26:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 14:38:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 15:40:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 15:54:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 16:20:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 17:02:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 17:34:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 17:38:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-25 18:36:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 18:42:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 19:00:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 19:02:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 19:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 19:18:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 19:26:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 21:14:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 22:22:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 22:34:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 23:10:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 23:46:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-25 23:54:00,3,预警,焚烧炉出口氧含量偏高,预警
