时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-04-26 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 00:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 00:04:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-26 00:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 00:14:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 00:16:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-26 00:18:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 00:26:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 00:50:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 00:54:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 01:00:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 01:04:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 01:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 01:22:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 01:26:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 01:40:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 01:46:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 01:50:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 01:54:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 02:04:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 02:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 02:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 02:20:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 02:32:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 02:42:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 02:48:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 02:54:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 02:58:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-26 03:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 03:02:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 03:06:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-26 03:08:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 03:14:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 03:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 03:36:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 03:38:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-26 03:42:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 03:46:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 03:50:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 03:54:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 04:00:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 04:00:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-26 04:08:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 04:10:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-26 04:16:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 04:18:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-26 04:20:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 04:26:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 04:28:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-26 04:32:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 04:38:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 04:44:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 04:46:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-26 04:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 04:56:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 05:04:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 05:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 05:20:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 05:22:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-26 05:26:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-26 05:26:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 05:30:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-26 05:34:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-26 05:34:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 05:40:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-26 05:44:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-26 05:44:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 05:50:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 05:54:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-26 05:56:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 05:58:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-26 06:02:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 06:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 06:16:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 06:22:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 06:30:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-26 06:30:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 06:38:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 06:42:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 06:46:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 06:52:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 07:00:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 07:04:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-04-26 07:12:00,5,预警,焚烧炉出口氧含量偏低,预警
