时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-03-22 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 00:00:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 00:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 00:24:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 00:54:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 01:04:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 01:14:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 01:42:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 02:36:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 03:06:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 03:24:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 03:30:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 03:36:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 03:42:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 03:48:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 05:02:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-22 05:10:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 05:24:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 05:42:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 05:52:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-22 05:52:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 06:04:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-22 06:36:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-22 06:46:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 06:50:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-22 07:08:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 07:16:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 07:20:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-22 07:24:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-22 07:26:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 07:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 07:44:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-22 07:48:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 07:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-22 08:12:00,3,预警,焚烧炉出口氧含量偏高,预警
