时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-06-28 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 00:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 00:06:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 00:08:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-28 00:12:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-28 00:22:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 00:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-28 00:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 00:42:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-28 00:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 00:58:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 00:58:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-28 01:16:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-28 01:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 01:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 01:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-28 01:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 01:40:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-28 01:44:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 01:48:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 01:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 02:08:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-28 02:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 02:32:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-28 02:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 02:44:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-28 02:54:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-28 02:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 03:00:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-28 03:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 03:04:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 03:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 03:12:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-28 03:18:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-28 03:22:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 03:26:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-28 03:30:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 03:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 03:46:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-28 03:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 03:50:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-28 03:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 04:00:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-28 04:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 04:06:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-28 04:12:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-06-28 04:14:00,5,预警,焚烧炉出口氧含量偏低,预警
