时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-01-12 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-12 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-01-12 00:54:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-12 00:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-12 01:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-12 01:04:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-12 01:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-12 01:16:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-12 01:22:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-12 01:38:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-12 01:46:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-12 02:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-12 02:12:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-12 02:34:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-12 03:00:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-12 03:06:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-12 03:18:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-12 03:46:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-12 03:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-12 03:56:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-12 03:58:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-12 04:00:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-12 04:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-12 04:18:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-12 04:22:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-12 04:28:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-12 05:04:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-12 05:12:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-12 06:08:00,3,预警,焚烧炉出口氧含量偏高,预警
