时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-04-01 00:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 00:14:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 02:48:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 02:58:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 03:22:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 03:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 04:00:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-01 04:08:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 04:48:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 07:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 07:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 08:10:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 08:26:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 08:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 08:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 09:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 09:14:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 09:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 09:26:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-01 09:32:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 10:08:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 10:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 10:36:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 10:44:01,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 10:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 11:30:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 11:32:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 11:34:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-01 11:42:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-01 11:50:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-01 11:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 12:10:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-01 12:14:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 12:18:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 12:28:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 12:36:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 12:48:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-01 12:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 13:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 13:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 13:06:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 13:06:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 13:14:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 13:14:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 13:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 13:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 14:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 14:06:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-01 14:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 14:10:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-01 14:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 14:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 15:06:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-01 15:32:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 15:40:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 15:50:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 16:10:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 16:20:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 17:16:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 17:42:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 18:14:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 18:28:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 18:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 18:58:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 19:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 19:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 19:50:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 20:04:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-01 20:12:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-01 20:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 20:32:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 21:04:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-01 21:12:00,4,预警,布袋除尘器压力损失偏高,预警
2025-04-01 21:16:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 21:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-01 22:08:00,3,预警,焚烧炉出口氧含量偏高,预警
