时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-01-30 00:00:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 00:00:00,4,预警,布袋除尘器压力损失偏低,预警
2025-01-30 00:00:00,5,预警,布袋除尘器压力损失偏低,预警
2025-01-30 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-30 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-01-30 00:00:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-01-30 00:00:00,4,报警,低炉温焚烧,报警
2025-01-30 00:00:00,5,报警,低炉温焚烧,报警
2025-01-30 00:00:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 00:05:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 00:05:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 00:05:00,5,报警,低炉温焚烧,报警
2025-01-30 00:05:00,4,报警,低炉温焚烧,报警
2025-01-30 00:10:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 00:10:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 00:10:00,4,报警,低炉温焚烧,报警
2025-01-30 00:10:00,5,报警,低炉温焚烧,报警
2025-01-30 00:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-30 00:15:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 00:15:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 00:15:00,5,报警,低炉温焚烧,报警
2025-01-30 00:15:00,4,报警,低炉温焚烧,报警
2025-01-30 00:20:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 00:20:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 00:20:00,5,报警,低炉温焚烧,报警
2025-01-30 00:20:00,4,报警,低炉温焚烧,报警
2025-01-30 00:25:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 00:25:00,5,报警,低炉温焚烧,报警
2025-01-30 00:25:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 00:25:00,4,报警,低炉温焚烧,报警
2025-01-30 00:30:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 00:30:00,4,报警,低炉温焚烧,报警
2025-01-30 00:30:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 00:30:00,5,报警,低炉温焚烧,报警
2025-01-30 00:35:00,5,报警,低炉温焚烧,报警
2025-01-30 00:35:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 00:35:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 00:35:00,4,报警,低炉温焚烧,报警
2025-01-30 00:40:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 00:40:00,5,报警,低炉温焚烧,报警
2025-01-30 00:40:00,4,报警,低炉温焚烧,报警
2025-01-30 00:40:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 00:45:00,4,报警,低炉温焚烧,报警
2025-01-30 00:45:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 00:45:00,5,报警,低炉温焚烧,报警
2025-01-30 00:45:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 00:50:00,5,报警,低炉温焚烧,报警
2025-01-30 00:50:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 00:50:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 00:50:00,4,报警,低炉温焚烧,报警
2025-01-30 00:55:00,5,报警,低炉温焚烧,报警
2025-01-30 00:55:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 00:55:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 00:55:00,4,报警,低炉温焚烧,报警
2025-01-30 00:58:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-30 01:00:00,4,报警,低炉温焚烧,报警
2025-01-30 01:00:00,5,报警,低炉温焚烧,报警
2025-01-30 01:00:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 01:00:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 01:05:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 01:05:00,5,报警,低炉温焚烧,报警
2025-01-30 01:05:00,4,报警,低炉温焚烧,报警
2025-01-30 01:05:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 01:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-30 01:10:00,4,报警,低炉温焚烧,报警
2025-01-30 01:10:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 01:10:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 01:10:00,5,报警,低炉温焚烧,报警
2025-01-30 01:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-30 01:15:00,4,报警,低炉温焚烧,报警
2025-01-30 01:15:00,5,报警,低炉温焚烧,报警
2025-01-30 01:15:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 01:15:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 01:20:00,4,报警,低炉温焚烧,报警
2025-01-30 01:20:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 01:20:00,5,报警,低炉温焚烧,报警
2025-01-30 01:20:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 01:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-30 01:25:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 01:25:00,5,报警,低炉温焚烧,报警
2025-01-30 01:25:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 01:25:00,4,报警,低炉温焚烧,报警
2025-01-30 01:28:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-30 01:30:00,4,报警,低炉温焚烧,报警
2025-01-30 01:30:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 01:30:00,5,报警,低炉温焚烧,报警
2025-01-30 01:30:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 01:35:00,4,报警,低炉温焚烧,报警
2025-01-30 01:35:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 01:35:00,5,报警,低炉温焚烧,报警
2025-01-30 01:35:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 01:40:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 01:40:00,4,报警,低炉温焚烧,报警
2025-01-30 01:40:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 01:40:00,5,报警,低炉温焚烧,报警
2025-01-30 01:40:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-30 01:45:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 01:45:00,4,报警,低炉温焚烧,报警
2025-01-30 01:45:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 01:45:00,5,报警,低炉温焚烧,报警
2025-01-30 01:50:00,4,报警,低炉温焚烧,报警
2025-01-30 01:50:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 01:50:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 01:50:00,5,报警,低炉温焚烧,报警
2025-01-30 01:55:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 01:55:00,5,报警,低炉温焚烧,报警
2025-01-30 01:55:00,4,报警,低炉温焚烧,报警
2025-01-30 01:55:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 01:58:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-30 02:00:00,4,报警,低炉温焚烧,报警
2025-01-30 02:00:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 02:00:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 02:00:00,5,报警,低炉温焚烧,报警
2025-01-30 02:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-30 02:05:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 02:05:00,5,报警,低炉温焚烧,报警
2025-01-30 02:05:00,4,报警,低炉温焚烧,报警
2025-01-30 02:05:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 02:10:00,4,报警,低炉温焚烧,报警
2025-01-30 02:10:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 02:10:00,5,报警,低炉温焚烧,报警
2025-01-30 02:10:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 02:14:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-30 02:15:00,4,报警,低炉温焚烧,报警
2025-01-30 02:15:00,5,报警,低炉温焚烧,报警
2025-01-30 02:15:00,5,预警,瞬时低炉温焚烧,预警
2025-01-30 02:15:00,4,预警,瞬时低炉温焚烧,预警
2025-01-30 02:18:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-30 02:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-30 02:20:00,5,报警,低炉温焚烧,报警
2025-01-30 02:20:00,4,报警,低炉温焚烧,报警
