时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-01-02 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 00:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 00:12:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 00:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 00:24:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 00:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 00:40:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 00:44:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 00:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 00:48:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 01:04:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 01:04:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 01:08:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 01:12:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 01:24:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 01:38:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 01:44:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 01:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 01:56:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 02:14:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 02:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 02:42:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 02:46:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 02:52:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 02:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 03:14:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 03:20:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 03:32:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 03:38:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 03:40:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 03:44:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 03:50:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 03:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 03:54:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 03:56:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 04:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 04:18:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 04:22:00,4,预警,布袋除尘器压力损失偏高,预警
2025-01-02 04:34:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 04:38:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 04:52:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 05:00:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 05:06:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 05:08:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 05:18:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 05:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 05:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 05:28:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 05:32:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 05:34:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 05:36:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 05:38:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 05:42:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 05:54:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 05:56:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 06:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 06:04:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 06:04:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 06:10:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 06:14:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 06:26:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 06:30:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 06:32:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 06:36:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 06:44:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 06:58:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-02 06:58:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-02 07:16:00,3,预警,焚烧炉出口氧含量偏高,预警
