时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-04-23 00:00:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 00:00:00,5,预警,烟气中颗粒物（PM）浓度较高,预警
2025-04-23 00:00:00,5,报警,低炉温焚烧,报警
2025-04-23 00:00:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-04-23 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-04-23 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-23 00:00:00,5,预警,布袋除尘器压力损失偏低,预警
2025-04-23 00:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-23 00:05:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 00:05:00,5,报警,低炉温焚烧,报警
2025-04-23 00:08:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-23 00:10:00,5,报警,低炉温焚烧,报警
2025-04-23 00:10:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 00:15:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 00:15:00,5,报警,低炉温焚烧,报警
2025-04-23 00:20:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 00:20:00,5,报警,低炉温焚烧,报警
2025-04-23 00:25:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 00:25:00,5,报警,低炉温焚烧,报警
2025-04-23 00:28:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-23 00:30:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 00:30:00,5,报警,低炉温焚烧,报警
2025-04-23 00:35:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 00:35:00,5,报警,低炉温焚烧,报警
2025-04-23 00:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-23 00:40:00,5,报警,低炉温焚烧,报警
2025-04-23 00:40:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 00:45:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 00:45:00,5,报警,低炉温焚烧,报警
2025-04-23 00:48:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-23 00:50:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 00:50:00,5,报警,低炉温焚烧,报警
2025-04-23 00:54:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-23 00:55:00,5,报警,低炉温焚烧,报警
2025-04-23 00:55:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 01:00:00,5,预警,烟气中颗粒物（PM）浓度较高,预警
2025-04-23 01:00:00,5,报警,低炉温焚烧,报警
2025-04-23 01:00:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 01:05:00,5,报警,低炉温焚烧,报警
2025-04-23 01:05:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 01:10:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 01:10:00,5,报警,低炉温焚烧,报警
2025-04-23 01:15:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 01:15:00,5,报警,低炉温焚烧,报警
2025-04-23 01:20:00,5,报警,低炉温焚烧,报警
2025-04-23 01:20:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 01:25:00,5,报警,低炉温焚烧,报警
2025-04-23 01:25:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 01:30:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 01:30:00,5,报警,低炉温焚烧,报警
2025-04-23 01:35:00,5,报警,低炉温焚烧,报警
2025-04-23 01:35:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 01:40:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 01:40:00,5,报警,低炉温焚烧,报警
2025-04-23 01:45:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 01:45:00,5,报警,低炉温焚烧,报警
2025-04-23 01:50:00,5,报警,低炉温焚烧,报警
2025-04-23 01:50:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 01:55:00,5,报警,低炉温焚烧,报警
2025-04-23 01:55:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 02:00:00,5,预警,烟气中颗粒物（PM）浓度较高,预警
2025-04-23 02:00:00,5,预警,烟气中一氧化碳（CO）浓度较高,预警
2025-04-23 02:00:00,5,报警,低炉温焚烧,报警
2025-04-23 02:00:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 02:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-23 02:05:00,5,报警,低炉温焚烧,报警
2025-04-23 02:05:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 02:10:00,5,报警,低炉温焚烧,报警
2025-04-23 02:10:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 02:15:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 02:15:00,5,报警,低炉温焚烧,报警
2025-04-23 02:20:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 02:20:00,5,报警,低炉温焚烧,报警
2025-04-23 02:25:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 02:25:00,5,报警,低炉温焚烧,报警
2025-04-23 02:30:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 02:30:00,5,报警,低炉温焚烧,报警
2025-04-23 02:35:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 02:35:00,5,报警,低炉温焚烧,报警
2025-04-23 02:40:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 02:40:00,5,报警,低炉温焚烧,报警
2025-04-23 02:45:00,5,报警,低炉温焚烧,报警
2025-04-23 02:45:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 02:50:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 02:50:00,5,报警,低炉温焚烧,报警
2025-04-23 02:55:00,5,报警,低炉温焚烧,报警
2025-04-23 02:55:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 03:00:00,5,报警,低炉温焚烧,报警
2025-04-23 03:00:00,5,预警,烟气中一氧化碳（CO）浓度较高,预警
2025-04-23 03:00:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 03:05:00,5,报警,低炉温焚烧,报警
2025-04-23 03:05:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 03:10:00,5,报警,低炉温焚烧,报警
2025-04-23 03:10:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 03:15:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 03:15:00,5,报警,低炉温焚烧,报警
2025-04-23 03:20:00,5,报警,低炉温焚烧,报警
2025-04-23 03:20:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 03:25:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 03:25:00,5,报警,低炉温焚烧,报警
2025-04-23 03:30:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 03:30:00,5,报警,低炉温焚烧,报警
2025-04-23 03:35:00,5,报警,低炉温焚烧,报警
2025-04-23 03:35:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 03:40:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 03:40:00,5,报警,低炉温焚烧,报警
2025-04-23 03:45:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 03:45:00,5,报警,低炉温焚烧,报警
2025-04-23 03:50:00,5,报警,低炉温焚烧,报警
2025-04-23 03:50:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 03:52:00,5,预警,布袋除尘器压力损失偏高,预警
2025-04-23 03:55:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 03:55:00,5,报警,低炉温焚烧,报警
2025-04-23 04:00:00,5,报警,低炉温焚烧,报警
2025-04-23 04:00:00,5,预警,烟气中一氧化碳（CO）浓度较高,预警
2025-04-23 04:00:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 04:05:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 04:05:00,5,报警,低炉温焚烧,报警
2025-04-23 04:10:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 04:10:00,5,报警,低炉温焚烧,报警
2025-04-23 04:15:00,5,报警,低炉温焚烧,报警
2025-04-23 04:15:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 04:20:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 04:20:00,5,报警,低炉温焚烧,报警
2025-04-23 04:25:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 04:25:00,5,报警,低炉温焚烧,报警
2025-04-23 04:26:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-04-23 04:30:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 04:30:00,5,报警,低炉温焚烧,报警
2025-04-23 04:35:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 04:35:00,5,报警,低炉温焚烧,报警
2025-04-23 04:40:00,5,报警,低炉温焚烧,报警
2025-04-23 04:40:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 04:45:00,5,报警,低炉温焚烧,报警
2025-04-23 04:45:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 04:50:00,5,报警,低炉温焚烧,报警
2025-04-23 04:50:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 04:55:00,5,报警,低炉温焚烧,报警
2025-04-23 04:55:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 05:00:00,5,预警,烟气中颗粒物（PM）浓度较高,预警
2025-04-23 05:00:00,5,预警,烟气中氮氧化物（NOx）浓度较高,预警
2025-04-23 05:00:00,5,预警,烟气中一氧化碳（CO）浓度较高,预警
2025-04-23 05:00:00,5,报警,低炉温焚烧,报警
2025-04-23 05:00:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 05:05:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 05:05:00,5,报警,低炉温焚烧,报警
2025-04-23 05:10:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 05:10:00,5,报警,低炉温焚烧,报警
2025-04-23 05:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-04-23 05:15:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 05:15:00,5,报警,低炉温焚烧,报警
2025-04-23 05:20:00,5,报警,低炉温焚烧,报警
2025-04-23 05:20:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 05:25:00,5,报警,低炉温焚烧,报警
2025-04-23 05:25:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 05:30:00,5,报警,低炉温焚烧,报警
2025-04-23 05:30:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 05:35:00,5,报警,低炉温焚烧,报警
2025-04-23 05:35:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 05:40:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 05:40:00,5,报警,低炉温焚烧,报警
2025-04-23 05:45:00,5,报警,低炉温焚烧,报警
2025-04-23 05:45:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 05:50:00,5,报警,低炉温焚烧,报警
2025-04-23 05:50:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 05:55:00,5,报警,低炉温焚烧,报警
2025-04-23 05:55:00,5,预警,瞬时低炉温焚烧,预警
2025-04-23 06:00:00,5,报警,低炉温焚烧,报警
