时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-03-29 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 00:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 00:08:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 00:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-29 00:28:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-29 01:44:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 01:48:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-29 02:42:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-29 02:42:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 02:54:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 02:56:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-29 03:40:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-29 04:52:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-29 05:12:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-29 05:14:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 05:20:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 05:48:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 06:10:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 06:20:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 06:22:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-29 06:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 06:54:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-29 07:02:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-29 07:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 07:12:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-29 07:18:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 07:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 07:38:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-29 07:58:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 08:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 08:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 08:44:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-29 09:06:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 09:10:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 10:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 10:16:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 10:26:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 10:30:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-29 10:34:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-29 10:36:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 11:32:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-29 12:04:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-29 12:12:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-29 12:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 12:28:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 12:30:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 13:06:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 13:12:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 14:32:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 14:50:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 14:58:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 16:22:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-29 17:08:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 17:14:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-29 18:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 19:14:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 20:18:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-29 22:02:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 23:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-29 23:42:00,3,预警,焚烧炉出口氧含量偏高,预警
