时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-03-30 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 00:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 00:20:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 01:04:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 01:36:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 02:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 03:10:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 03:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 04:12:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-30 04:16:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 04:48:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-30 04:54:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-30 05:54:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 06:30:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 06:38:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 07:16:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 07:22:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 08:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 08:42:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 08:50:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 09:16:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 09:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 09:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 10:06:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 10:32:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 10:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 12:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 12:54:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 14:18:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 14:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 14:26:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 14:54:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 14:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 15:26:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 15:38:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 15:52:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 19:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 19:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-30 19:22:00,4,预警,布袋除尘器压力损失偏高,预警
2025-03-30 20:08:00,4,预警,布袋除尘器压力损失偏高,预警
