时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-06-26 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-06-26 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-06-26 00:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-26 00:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-26 00:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-26 00:20:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-26 00:32:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-26 00:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-26 00:50:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-06-26 00:50:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-26 00:54:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-06-26 00:58:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-26 01:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-26 01:04:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-26 01:06:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-06-26 01:06:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-26 01:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-26 01:26:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-26 01:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-26 01:32:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-26 01:32:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-26 01:40:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-26 01:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-26 01:48:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-26 01:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-26 01:54:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-26 01:58:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-26 02:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-06-26 02:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-26 02:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-26 02:14:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-26 02:18:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-26 02:30:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-26 02:36:00,5,预警,焚烧炉出口氧含量偏低,预警
