时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-06-23 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 00:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 00:06:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 00:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 00:28:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 00:32:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 00:42:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 00:44:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-23 00:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 01:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 01:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-23 01:16:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 01:24:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-23 01:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 01:30:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 01:40:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 01:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 02:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 02:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 02:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 02:32:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 02:40:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 02:48:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 02:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 03:06:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 03:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 03:28:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 03:44:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 03:48:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 03:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 04:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 04:14:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 04:38:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-23 04:40:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 04:44:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 04:50:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 04:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 04:56:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-23 05:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 05:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 05:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 05:32:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 05:36:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 06:00:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-23 06:06:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 06:08:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-23 06:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 06:24:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-23 06:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 06:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 06:38:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 06:40:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 06:46:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-23 06:50:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 06:50:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-23 06:58:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 07:04:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 07:16:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-23 07:26:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 07:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 07:44:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 07:48:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-23 07:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 08:02:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-23 08:10:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 08:12:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-23 08:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 08:22:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 08:26:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 08:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-06-23 08:32:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-06-23 08:38:00,6,预警,焚烧炉出口氧含量偏高,预警
