时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-05-31 00:00:00,6,报警,烟气中氯化氢（HCl）排放超标,报警
2025-05-31 00:00:00,6,报警,烟气中颗粒物（PM）排放超标,报警
2025-05-31 00:00:00,6,报警,烟气中氮氧化物（NOx）排放超标,报警
2025-05-31 17:00:00,6,预警,氨逃逸偏高,预警
2025-05-31 17:00:00,6,预警,烟气中氮氧化物（NOx）浓度较高,预警
2025-05-31 17:00:00,6,预警,烟气中颗粒物（PM）浓度较高,预警
2025-05-31 17:15:00,6,报警,低炉温焚烧,报警
2025-05-31 17:15:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 17:16:00,6,预警,布袋除尘器压力损失偏低,预警
2025-05-31 17:16:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 17:16:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 17:16:00,5,预警,活性炭投加量不足,预警
2025-05-31 17:16:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 17:18:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 17:20:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 17:20:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 17:20:00,6,报警,低炉温焚烧,报警
2025-05-31 17:24:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 17:25:00,6,报警,低炉温焚烧,报警
2025-05-31 17:25:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 17:30:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 17:30:00,6,报警,低炉温焚烧,报警
2025-05-31 17:35:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 17:35:00,6,报警,低炉温焚烧,报警
2025-05-31 17:40:00,6,报警,低炉温焚烧,报警
2025-05-31 17:40:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 17:45:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 17:45:00,6,报警,低炉温焚烧,报警
2025-05-31 17:46:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 17:50:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 17:50:00,6,报警,低炉温焚烧,报警
2025-05-31 17:55:00,6,报警,低炉温焚烧,报警
2025-05-31 17:55:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 18:00:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 18:00:00,6,报警,低炉温焚烧,报警
2025-05-31 18:00:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 18:00:00,6,预警,烟气中颗粒物（PM）浓度较高,预警
2025-05-31 18:00:00,6,预警,烟气中氮氧化物（NOx）浓度较高,预警
2025-05-31 18:00:00,6,预警,烟气中氯化氢（HCl）浓度较高,预警
2025-05-31 18:00:00,6,预警,氨逃逸偏高,预警
2025-05-31 18:05:00,6,报警,低炉温焚烧,报警
2025-05-31 18:05:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 18:08:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 18:10:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 18:10:00,6,报警,低炉温焚烧,报警
2025-05-31 18:15:00,6,报警,低炉温焚烧,报警
2025-05-31 18:15:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 18:20:00,6,报警,低炉温焚烧,报警
2025-05-31 18:20:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 18:25:00,6,报警,低炉温焚烧,报警
2025-05-31 18:25:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 18:26:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 18:30:00,6,报警,低炉温焚烧,报警
2025-05-31 18:30:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 18:35:00,6,报警,低炉温焚烧,报警
2025-05-31 18:35:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 18:40:00,6,报警,低炉温焚烧,报警
2025-05-31 18:40:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 18:45:00,6,报警,低炉温焚烧,报警
2025-05-31 18:45:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 18:50:00,6,报警,低炉温焚烧,报警
2025-05-31 18:50:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 18:55:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 18:55:00,6,报警,低炉温焚烧,报警
2025-05-31 18:56:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 19:00:00,6,报警,低炉温焚烧,报警
2025-05-31 19:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 19:00:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 19:00:00,6,预警,烟气中氮氧化物（NOx）浓度较高,预警
2025-05-31 19:00:00,6,预警,烟气中氯化氢（HCl）浓度较高,预警
