时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-03-18 00:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 00:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 00:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 00:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 00:00:00,4,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 00:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 00:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 00:32:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 00:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 00:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 00:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 01:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 01:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 01:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 01:28:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 01:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 01:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 02:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 02:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 02:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 02:10:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 02:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 02:30:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 02:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 02:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 03:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 03:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 03:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 03:06:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 03:10:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 03:22:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 03:30:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 03:42:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 03:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 04:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 04:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 04:06:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 04:16:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 04:26:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 04:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 04:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 05:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 05:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 05:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 05:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 05:44:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-18 05:50:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-18 05:50:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 06:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 06:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 06:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 06:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 06:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 06:28:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 06:40:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 06:42:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 06:48:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 06:50:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 07:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 07:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 07:06:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 07:16:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 07:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 07:28:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 07:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 07:42:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 07:50:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 08:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 08:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 08:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 08:02:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 08:06:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 08:06:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-18 08:06:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 08:14:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 08:22:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 08:26:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 08:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 08:42:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 08:48:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 08:52:00,5,预警,布袋除尘器压力损失偏低,预警
2025-03-18 08:56:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 09:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 09:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 09:06:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 09:24:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 09:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 09:38:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-18 09:42:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 09:44:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-03-18 10:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 10:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 10:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 10:15:00,5,预警,瞬时低炉温焚烧,预警
2025-03-18 10:15:00,5,报警,低炉温焚烧,报警
2025-03-18 10:30:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 10:44:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 11:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 11:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 11:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 12:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 12:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 12:04:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 12:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 12:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 13:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 13:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 13:36:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 13:40:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 14:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 14:58:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 15:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 15:10:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 15:12:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 15:38:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 15:58:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 16:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 16:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 16:10:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 16:18:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 16:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 16:20:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 16:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 16:44:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 16:46:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 16:56:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 17:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 17:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 17:30:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 17:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 17:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 17:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 18:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 18:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 18:04:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 18:48:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 18:50:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 19:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 19:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 19:08:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 19:46:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 20:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 20:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 20:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 20:48:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 20:50:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 21:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 21:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 21:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 21:16:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 21:28:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 21:28:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 21:40:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 21:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 22:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 22:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 22:56:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 22:58:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-03-18 23:00:00,6,预警,氨逃逸偏高,预警
2025-03-18 23:00:00,3,预警,氨逃逸偏高,预警
2025-03-18 23:44:00,5,预警,焚烧炉出口氧含量偏高,预警
